No,1depth,2depth,3depth,4depth,5depth,6depth,팝업,모바일,구현상태,설명,비고(변경 Δ)
0.1,메인 홈페이지,,,,,,,O,구현,랜딩: 메인 문구·주요기능 설명·성과 수치·시작하기 btn,서비스명 1KUP→KUP
0.1.1,,상단 GNB 우측,시작하기 / 로그인,,,,,O,구현,시작하기·로그인 진입,
0.1.1.1,,,서비스 온보딩(로그인 후),,,,O,O,구현,"워크스페이스 이동 후 온보딩 팝업(캐러셀 3개: 이미지+타이틀+설명), [닫기]",GIF는 색상 플레이스홀더로 대체
0.1.2,,,로그인,이메일 로그인 / 아이디·비번 찾기,,,,O,부분,이메일 로그인 구현,아이디·비번 찾기 = 예정
0.1.2.1,,,,구글 연동 로그인,,,,O,스텁,구글 로그인 — 실제 OAuth 아님(모의 로그인),
0.1.2.2,,,,비회원으로 이용,,,O,O,구현,비회원 워크스페이스로 이동,
0.1.3,,,회원가입,,,,O,O,구현,이메일/구글 가입,
0.1.3.1,,,,이메일 가입,,,O,O,구현,약관 동의 + 양식,
0.1.3.2,,,,구글 연동 가입,,,O,O,스텁,구글 가입(모의),
0.1.4,,상단 GNB 좌측,로고,,,,,O,구현,메인 홈페이지로 이동,
0.1.4.1,,,주요 기능,,,,,O,구현,주요 기능 페이지(/features),릴스 추가 반영
0.1.5,,,요금제,,,,O,O,구현,요금제 페이지(/pricing),
0.1.5.1,,,,결제 페이지,,,O,O,스텁,구독 즉시 적용(결제 모의),결제는 시뮬레이션 유지
0.1.6,,,문의하기,,,,O,O,구현,구글폼 링크(FAQ 오류 접수),링크 플레이스홀더
0.1.7,,하단 FNB,사이트맵·약관·정보,,,,,O,구현,이용약관·개인정보·고객센터(요약본),
0.2,워크스페이스,,,,,,,O,구현,로그인 후 영역,
0.2.0,,워크스페이스 홈(개요),,,,,,O,구현,[신규] /app/home — 로그인 후 첫 화면: 운영단계·이번주 루틴·streak·팔로워 챌린지·연동계정·바로할일·미니칸반,★원 IA에 없던 신규 화면
0.2.1,,상단 Header,계정 연동하기,,,,O,O,구현,"미연동 시 안내, 연동 페이지(/app/accounts). OAuth/토큰 연결(비번 미보관), 다중 계정",Instagram 로그인 방식 토큰 연동 실구현
0.2.2,,,요금제,,,,O,O,구현,현재 상태 안내·3플랜표(베이직/프로/프리미엄)·월연 토글(연 30%)·비교,결제 자체는 스텁
0.2.2.1,,,,구독하기,,,O,O,스텁,결제 팝업 → 즉시 적용(PG 미연동),
0.2.3,,좌측 사이드바,연동 인스타 계정,,,,,O,구현,다중 계정 연동/활성 전환. 테스터(시뮬)/정식(실발행),★실발행 구현
0.2.3.1,,,AI 기획 및 제작,기획 리스트(테이블),,,,O,구현,No·형식·장수·타이틀·서브타이틀+본문·(제작하러가기/업로드하기). 기획 추가,"★형식에 릴스 추가, 목적에 팔로우·댓글 추가"
0.2.3.1.1,,,,기획 추가(팝업),형식/목적/장수/핵심메시지,,O,O,구현,형식: 카드뉴스/사진첨부형/릴스 · 목적: 조회·저장·공유·방문·문의·팔로우·댓글,"★[신규] 릴스, ★[신규] 팔로우·댓글"
0.2.3.2,,,,카드뉴스 제작(제작하러가기),,,,O,구현,아웃라인 → 본문·캡션·해시태그·CTA 생성 → 에디터,
0.2.3.2-R,,,,릴스 업로드하기,,,,O,구현,"[신규] 릴스는 제작하러가기 없이 대본+자막+캡션 기획 후, 영상 업로드 → 발행/예약",★사용자 제안 반영(영상 자동생성 X)
0.2.3.3,,,,AI 제작 및 편집,템플릿+브랜드컬러,,,O,구현,"테마·브랜드컬러 적용 초안, 직접 편집(페이지/캡션/해시태그/CTA)",
0.2.3.3.1,,,,,최종 검수 및 업로드,,O,O,구현,AI 생성물 표기(편집 시 해제)·출처/민감/표기 체크·사용자 승인(필수 게이트),
0.2.3.4,,,콘텐츠 관리,내 콘텐츠 히스토리(칸반),,,,O,구현,6열 칸반: 기획중/기획완료/제작중/제작완료/예약업로드/업로드완료. 가로 스크롤,
0.2.3.4.1,,,,캘린더/리스트 토글,,,,O,부분,리스트 토글 구현,캘린더 보기 = 예정
0.2.3.4.2,,,,관련 게시물/임시저장 토글,,,,O,예정,미구현,
0.2.3.4.1.1,,,자동화 설정,DM 리드마그넷,,,,O,스텁,키워드 트리거 + 자료 링크. 요금제 한도(100/1000/무제한). 발송은 시뮬레이션,옵트인 필수
0.2.3.5,,,콘텐츠 성과,인스타 인사이트,,,,O,부분,계정/게시물 단위 지표·DM 카운트·업데이트 날짜(04:00)·새로고침,현재 수동 입력 / Meta 자동수집 = 예정
0.2.3.5.1a,,,,팔로워 달성 챌린지,,,,O,구현,100단위 로드맵·마일스톤 배지,
0.2.3.5.1b,,,,업로드 릴레이 기여 그래프,,,,O,부분,"칸=하루, 농도 5단계, 호버 툴팁(날짜·건수)",[갭] 월/요일 축 라벨 = 예정
0.2.3.5.2,,,,프로필(모달),,,O,O,구현,이름·이메일·요금제 구독정보·로그아웃,
0.3,마이페이지,,,,,,,O,구현,,
0.3.1,,계정 정보,,,,,,O,구현,이름·이메일·계정연동관리·비번변경·마케팅동의 토글·로그아웃·회원탈퇴,이메일 인증은 스텁
0.3.1-S,,콘텐츠 설정(설문),,,,,,O,구현,[신규] 시작 설문값 조회/수정 탭,★마이페이지에서 설문 수정
0.3.2,,요금제 구독·결제 정보,,,,,O,O,부분,구독 여부·정보 표시,결제내역·영수증 = 스텁
0.3.3,,내 프로젝트 데이터 관리,전체/기간 삭제,,,,,O,구현,전체 삭제 · 1일/7일/30일 이전 삭제,
0.4,회원 가입 정책,,,,,,,O,구현,,
0.4.1,,약관 동의,이용약관/개인정보/Meta/이벤트,,,,O,O,구현,전체 동의 · 필수3 + 선택1,약관 전문은 요약본
0.4.2,,가입 양식,이메일/비번/닉네임/이메일 인증,,,,O,O,부분,이메일 중복확인·비번 8~16(영문+숫자+특수)·닉네임 10자 중복확인,이메일 인증 = 스텁(자동확정)
0.4.3,,구글 가입,,,,,O,O,스텁,구글 인증(모의),
0.4.4,,가입 완료,,,,,O,O,구현,환영 → 온보딩(워크스페이스),★온보딩 설문 건너뛰기(스킵) 가능
0.4.5,,계정 찾기,비밀번호 재설정,,,,O,O,예정,미구현(이메일 가입자 대상),
0.5,결제 페이지,,,,,,O,O,스텁,실제 결제는 시뮬레이션(되는 척),★사용자 결정: 결제는 모의 유지
0.5.1,,플랜 선택·업그레이드,,,,,O,,구현,플랜 선택 → 구독 적용,
0.5.1.1,,주문요약,,,,,O,,부분,플랜·주기·금액 표시,쿠폰/부가세 = 예정
0.5.1.1.1,,결제 정보 입력(PG),,,,,O,O,스텁,포트원/토스 미연동(모의),
0.5.2,,결제수단 관리,,,,,O,,예정,미구현,
0.5.3,,구독 관리,,,,,O,,부분,플랜 변경 구현,자동결제 ON/OFF = 예정
0.5.3.1,,,구독 해지,,,,O,O,예정,미구현,
0.5.4,,결제내역,,,,,O,,예정,영수증/세금계산서/현금영수증 = 미구현,
A.1,[부록] 인스타 실발행,,,,,,,,구현,"Graph API: 카드=캐러셀, 릴스=REELS. 이미지/영상은 /api/render·/api/render-video 공개 서빙",PUBLIC_BASE_URL(ngrok/배포 URL) 필요
A.2,[부록] 연동 방식,,,,,,,,구현,① Instagram 로그인(권장·토큰만) ② Facebook 로그인(IG User ID+토큰) ③ 테스터(시뮬),instagram_business_content_publish 권한 필요
